X,Y,FACILITY_ID,TIME,CAPACITY,OCCUPATION,PERCENTAGE_OF_OCCUPATION
-210.0,-500.0,426_curbside_sensor,25200.0,0,0,0.0
-10.0,-500.0,427_curbside_sensor,25200.0,0,0,0.0
210.0,-500.0,428_curbside_sensor,25200.0,7,0,0.0
410.0,-500.0,429_curbside_sensor,25200.0,0,0,0.0
610.0,-500.0,430_curbside_sensor,25200.0,0,0,0.0
810.0,-500.0,431_curbside_sensor,25200.0,0,0,0.0
-810.0,-300.0,434_curbside_sensor,25200.0,8,0,0.0
-610.0,-300.0,435_curbside_sensor,25200.0,0,0,0.0
-410.0,-300.0,436_curbside_sensor,25200.0,9,0,0.0
-210.0,-300.0,437_curbside_sensor,25200.0,0,0,0.0
-10.0,-300.0,438_curbside_sensor,25200.0,0,0,0.0
210.0,-300.0,439_curbside_sensor,25200.0,7,0,0.0
410.0,-300.0,440_curbside_sensor,25200.0,9,0,0.0
610.0,-300.0,441_curbside_sensor,25200.0,0,0,0.0
810.0,-300.0,442_curbside_sensor,25200.0,0,0,0.0
-810.0,-100.0,455_curbside_sensor,25200.0,0,0,0.0
-610.0,-100.0,456_curbside_sensor,25200.0,7,0,0.0
-410.0,-100.0,457_curbside_sensor,25200.0,0,0,0.0
-210.0,-100.0,458_curbside_sensor,25200.0,0,0,0.0
-10.0,-100.0,459_curbside_sensor,25200.0,0,0,0.0
210.0,-100.0,460_curbside_sensor,25200.0,0,0,0.0
410.0,-100.0,461_curbside_sensor,25200.0,0,0,0.0
610.0,-100.0,462_curbside_sensor,25200.0,0,0,0.0
810.0,-100.0,463_curbside_sensor,25200.0,0,0,0.0
-300.0,-810.0,HOME_114_curbside_sensor,25200.0,0,0,0.0
300.0,-190.0,WORK_349_curbside_sensor,25200.0,0,0,0.0
100.0,-210.0,148_curbside_sensor,25505.0,8,1,0.125
100.0,-210.0,148_curbside_sensor,25625.0,8,2,0.25
100.0,-210.0,148_curbside_sensor,25865.0,8,3,0.375
210.0,-300.0,439_curbside_sensor,26003.0,7,2,0.2857142857142857
210.0,-300.0,439_curbside_sensor,26049.0,7,2,0.2857142857142857
390.0,-100.0,261_curbside_sensor,26057.0,7,2,0.2857142857142857
390.0,-100.0,261_curbside_sensor,26071.0,7,2,0.2857142857142857
100.0,-210.0,148_curbside_sensor,26105.0,8,4,0.5
100.0,-210.0,148_curbside_sensor,26285.0,8,5,0.625
-190.0,-100.0,258_curbside_sensor,26305.0,8,1,0.125
390.0,-100.0,261_curbside_sensor,26325.0,7,3,0.42857142857142855
100.0,-210.0,148_curbside_sensor,26345.0,8,6,0.75
100.0,-210.0,148_curbside_sensor,26506.0,8,7,0.875
100.0,-210.0,148_curbside_sensor,26580.0,8,8,1.0
210.0,-300.0,439_curbside_sensor,26663.0,7,4,0.5714285714285714
210.0,-300.0,439_curbside_sensor,26698.0,7,4,0.5714285714285714
410.0,-300.0,440_curbside_sensor,26823.0,9,1,0.1111111111111111
210.0,-300.0,439_curbside_sensor,26903.0,7,5,0.7142857142857143
410.0,-300.0,440_curbside_sensor,26911.0,9,2,0.2222222222222222
-390.0,-100.0,257_curbside_sensor,26951.0,9,1,0.1111111111111111
390.0,-100.0,261_curbside_sensor,27045.0,7,4,0.5714285714285714
210.0,-300.0,439_curbside_sensor,27058.0,7,6,0.8571428571428571
410.0,-300.0,440_curbside_sensor,27105.0,9,3,0.3333333333333333
210.0,-300.0,439_curbside_sensor,27118.0,7,7,1.0
-300.0,-390.0,336_curbside_sensor,27308.0,7,1,0.14285714285714285
390.0,-100.0,261_curbside_sensor,27320.0,7,5,0.7142857142857143
390.0,-100.0,261_curbside_sensor,27405.0,7,6,0.8571428571428571
390.0,-100.0,261_curbside_sensor,27521.0,7,7,1.0
-100.0,-410.0,137_curbside_sensor,27543.0,9,1,0.1111111111111111
410.0,-300.0,440_curbside_sensor,27611.0,9,4,0.4444444444444444
-390.0,-100.0,257_curbside_sensor,27765.0,9,2,0.2222222222222222
300.0,-410.0,139_curbside_sensor,27865.0,7,1,0.14285714285714285
210.0,-500.0,428_curbside_sensor,27976.0,7,1,0.14285714285714285
300.0,-410.0,139_curbside_sensor,28033.0,7,3,0.42857142857142855
300.0,-410.0,139_curbside_sensor,28045.0,7,3,0.42857142857142855
410.0,-300.0,440_curbside_sensor,28055.0,9,6,0.6666666666666666
410.0,-300.0,440_curbside_sensor,28063.0,9,6,0.6666666666666666
-390.0,-100.0,257_curbside_sensor,28095.0,9,3,0.3333333333333333
300.0,-410.0,139_curbside_sensor,28105.0,7,4,0.5714285714285714
-300.0,-390.0,336_curbside_sensor,28161.0,7,2,0.2857142857142857
790.0,-300.0,242_curbside_sensor,28196.0,7,1,0.14285714285714285
300.0,-410.0,139_curbside_sensor,28225.0,7,5,0.7142857142857143
210.0,-500.0,428_curbside_sensor,28298.0,7,2,0.2857142857142857
300.0,-410.0,139_curbside_sensor,28345.0,7,6,0.8571428571428571
300.0,-410.0,139_curbside_sensor,28465.0,7,7,1.0
410.0,-300.0,440_curbside_sensor,28601.0,9,7,0.7777777777777778
410.0,-300.0,440_curbside_sensor,28785.0,9,8,0.8888888888888888
900.0,-410.0,142_curbside_sensor,28834.0,9,1,0.1111111111111111
-190.0,-100.0,258_curbside_sensor,28846.0,8,2,0.25
100.0,-210.0,148_curbside_sensor,28860.0,8,7,0.875
410.0,-300.0,440_curbside_sensor,28901.0,9,9,1.0
100.0,-210.0,148_curbside_sensor,28942.0,8,8,1.0
100.0,-210.0,148_curbside_sensor,28980.0,8,7,0.875
210.0,-500.0,428_curbside_sensor,29005.0,7,5,0.7142857142857143
210.0,-500.0,428_curbside_sensor,29028.0,7,5,0.7142857142857143
210.0,-500.0,428_curbside_sensor,29041.0,7,5,0.7142857142857143
-300.0,-390.0,336_curbside_sensor,29041.0,7,3,0.42857142857142855
-190.0,-100.0,258_curbside_sensor,29057.0,8,3,0.375
-190.0,-100.0,258_curbside_sensor,29125.0,8,4,0.5
210.0,-500.0,428_curbside_sensor,29167.0,7,6,0.8571428571428571
100.0,-210.0,148_curbside_sensor,29220.0,8,6,0.75
-190.0,-900.0,205_curbside_sensor,29287.0,8,1,0.125
100.0,-210.0,148_curbside_sensor,29340.0,8,6,0.75
100.0,-210.0,148_curbside_sensor,29345.0,8,6,0.75
390.0,-100.0,261_curbside_sensor,29361.0,7,6,0.8571428571428571
-190.0,-900.0,205_curbside_sensor,29407.0,8,2,0.25
210.0,-300.0,439_curbside_sensor,29412.0,7,6,0.8571428571428571
100.0,-210.0,148_curbside_sensor,29460.0,8,6,0.75
100.0,-210.0,148_curbside_sensor,29465.0,8,6,0.75
210.0,-300.0,439_curbside_sensor,29472.0,7,5,0.7142857142857143
390.0,-100.0,261_curbside_sensor,29481.0,7,5,0.7142857142857143
100.0,-210.0,148_curbside_sensor,29520.0,8,5,0.625
-410.0,-300.0,436_curbside_sensor,29521.0,9,1,0.1111111111111111
100.0,-210.0,148_curbside_sensor,29585.0,8,6,0.75
210.0,-300.0,439_curbside_sensor,29635.0,7,6,0.8571428571428571
100.0,-210.0,148_curbside_sensor,29636.0,8,7,0.875
100.0,-210.0,148_curbside_sensor,29640.0,8,6,0.75
-190.0,-900.0,205_curbside_sensor,29647.0,8,3,0.375
100.0,-210.0,148_curbside_sensor,29700.0,8,6,0.75
100.0,-210.0,148_curbside_sensor,29700.0,8,6,0.75
10.0,-500.0,227_curbside_sensor,29703.0,7,1,0.14285714285714285
210.0,-300.0,439_curbside_sensor,29723.0,7,7,1.0
-190.0,-900.0,205_curbside_sensor,29827.0,8,5,0.625
100.0,-210.0,148_curbside_sensor,29838.0,8,7,0.875
390.0,-100.0,261_curbside_sensor,29841.0,7,4,0.5714285714285714
-100.0,-790.0,315_curbside_sensor,29860.0,8,1,0.125
-190.0,-900.0,205_curbside_sensor,29887.0,8,5,0.625
-10.0,-900.0,406_curbside_sensor,29890.0,7,2,0.2857142857142857
-10.0,-900.0,406_curbside_sensor,29908.0,7,2,0.2857142857142857
-190.0,-100.0,258_curbside_sensor,29977.0,8,3,0.375
-590.0,-900.0,203_curbside_sensor,29999.0,7,1,0.14285714285714285
210.0,-500.0,428_curbside_sensor,30016.0,7,7,1.0
410.0,-300.0,440_curbside_sensor,30021.0,9,8,0.8888888888888888
100.0,-810.0,116_curbside_sensor,30028.0,9,1,0.1111111111111111
100.0,-210.0,148_curbside_sensor,30062.0,8,8,1.0
-190.0,-900.0,205_curbside_sensor,30067.0,8,7,0.875
390.0,-100.0,261_curbside_sensor,30105.0,7,5,0.7142857142857143
-190.0,-900.0,205_curbside_sensor,30127.0,8,7,0.875
210.0,-300.0,439_curbside_sensor,30132.0,7,6,0.8571428571428571
210.0,-300.0,439_curbside_sensor,30193.0,7,7,1.0
-100.0,-410.0,137_curbside_sensor,30201.0,9,0,0.0
390.0,-100.0,261_curbside_sensor,30260.0,7,6,0.8571428571428571
210.0,-300.0,439_curbside_sensor,30312.0,7,6,0.8571428571428571
410.0,-300.0,440_curbside_sensor,30321.0,9,7,0.7777777777777778
210.0,-300.0,439_curbside_sensor,30372.0,7,6,0.8571428571428571
210.0,-300.0,439_curbside_sensor,30383.0,7,6,0.8571428571428571
-10.0,-900.0,406_curbside_sensor,30388.0,7,3,0.42857142857142855
390.0,-100.0,261_curbside_sensor,30401.0,7,7,1.0
-390.0,-100.0,257_curbside_sensor,30465.0,9,4,0.4444444444444444
700.0,-590.0,330_curbside_sensor,30489.0,9,1,0.1111111111111111
210.0,-300.0,439_curbside_sensor,30534.0,7,7,1.0
390.0,-100.0,261_curbside_sensor,30561.0,7,6,0.8571428571428571
-190.0,-900.0,205_curbside_sensor,30567.0,8,8,1.0
790.0,-300.0,242_curbside_sensor,30567.0,7,2,0.2857142857142857
410.0,-300.0,440_curbside_sensor,30583.0,9,8,0.8888888888888888
410.0,-300.0,440_curbside_sensor,30621.0,9,7,0.7777777777777778
-300.0,-390.0,336_curbside_sensor,30668.0,7,4,0.5714285714285714
-100.0,-790.0,315_curbside_sensor,30670.0,8,2,0.25
210.0,-300.0,439_curbside_sensor,30672.0,7,6,0.8571428571428571
210.0,-300.0,439_curbside_sensor,30732.0,7,5,0.7142857142857143
410.0,-300.0,440_curbside_sensor,30767.0,9,8,0.8888888888888888
-100.0,-790.0,315_curbside_sensor,30820.0,8,5,0.625
410.0,-300.0,440_curbside_sensor,30825.0,9,9,1.0
-590.0,-900.0,203_curbside_sensor,30876.0,7,2,0.2857142857142857
-100.0,-790.0,315_curbside_sensor,30884.0,8,6,0.75
-100.0,-790.0,315_curbside_sensor,30890.0,8,6,0.75
390.0,-100.0,261_curbside_sensor,30921.0,7,6,0.8571428571428571
210.0,-300.0,439_curbside_sensor,30923.0,7,6,0.8571428571428571
-390.0,-100.0,257_curbside_sensor,30926.0,9,3,0.3333333333333333
390.0,-100.0,261_curbside_sensor,30941.0,7,6,0.8571428571428571
-100.0,-790.0,315_curbside_sensor,30944.0,8,6,0.75
390.0,-100.0,261_curbside_sensor,30981.0,7,5,0.7142857142857143
210.0,-300.0,439_curbside_sensor,30983.0,7,7,1.0
410.0,-300.0,440_curbside_sensor,31041.0,9,8,0.8888888888888888
700.0,-590.0,330_curbside_sensor,31058.0,9,2,0.2222222222222222
-100.0,-410.0,137_curbside_sensor,31067.0,9,1,0.1111111111111111
410.0,-300.0,440_curbside_sensor,31101.0,9,7,0.7777777777777778
-10.0,-900.0,406_curbside_sensor,31108.0,7,4,0.5714285714285714
790.0,-300.0,242_curbside_sensor,31142.0,7,3,0.42857142857142855
300.0,-410.0,139_curbside_sensor,31161.0,7,6,0.8571428571428571
-100.0,-790.0,315_curbside_sensor,31165.0,8,7,0.875
-500.0,-610.0,124_curbside_sensor,31189.0,8,1,0.125
-190.0,-100.0,258_curbside_sensor,31209.0,8,4,0.5
390.0,-100.0,261_curbside_sensor,31221.0,7,4,0.5714285714285714
